detector_index,slope_MeV_per_channel,intercept_MeV,cv_error_MeV,r_squared,n_calibration_points,p_value,std_error,quality_flag
0,0.0011409688110377656,-0.10947765654226727,0.005719805957105584,0.9998919716928888,4,5.401561239881669e-05,8.38592588166911e-06,good
1,0.001135419972761827,-0.11242748027454841,0.018327342555008647,0.9992170774395368,4,0.00039153793120738634,2.2473515384863845e-05,good
2,0.001138589976266927,-0.10648097864023431,0.011898951822422399,0.9997164327063178,4,0.00014179369956768273,1.3559448066898563e-05,good
3,0.0011420833336259488,-0.11162364609719932,0.010110729615943725,0.9997793092178222,4,0.00011035147981341972,1.1998385757819672e-05,good
4,0.0011522013855333846,-0.1158507435162126,0.01078238820480007,0.9997706071692649,4,0.000114702993755933,1.2341079027443255e-05,good
5,0.001206578452276433,-0.10975484133952085,0.01233630043729303,0.99970082125534,4,0.0001496005624941344,1.4759475032318908e-05,good
6,0.0011896375497623072,-0.10810979605743043,0.015291457623909654,0.9994844257085453,4,0.00025782038140187435,1.910545025944105e-05,good
7,0.0010098475612367556,0.03539588395352877,0.05186163736132613,0.9988756540306613,3,0.021350670738509547,3.3880521822679353e-05,good
8,0.001168804680805681,-0.10299308985396372,0.010271959429496214,0.9997942043670416,4,0.0001029031110043599,1.185740664946879e-05,good
9,0.0011780248499479525,-0.03329957254545857,0.07394438555982308,0.9781184404914208,4,0.011001293989005846,0.00012458990829586653,good
10,0.0010107185061618534,0.04081714732080266,0.06205059736337289,0.998456683038379,3,0.02501609168120983,3.973682540820302e-05,good
11,0.0011226905164812564,-0.11322191201715426,0.014721061898993859,0.9995501559988968,4,0.0002249473011957103,1.6841226908039508e-05,good
12,0.0010691391750761415,0.04828328534781767,0.0685913831630437,0.9981643219178495,3,0.027284207551394053,4.584917052833597e-05,good
13,0.0011735849112887167,-0.13122830691993492,0.04301633362170043,0.9941457177014361,4,0.0029314378131080074,6.368121290575871e-05,good
14,0.0010821608439401695,-0.11250820385301141,0.009290087388027474,0.9998318961233995,4,8.405547096135281e-05,9.922067759773557e-06,good
15,0.001364891278160776,-0.25385038512056624,0.05119069206615104,0.9948023016524966,4,0.0026022349872160126,6.976220606385966e-05,good
